OR4F5	ENSG00000186092.7	ENST00000641515.2
SMAD1	ENSG00000170365.10	ENST00000302085.9
MMAA	ENSG00000151611.17	ENST00000679563.1
C4orf51	ENSG00000237136.8	ENST00000438731.7
ZNF827	ENSG00000151612.18	ENST00000508784.6
LSM6	ENSG00000164167.12	ENST00000296581.11
REELD1	ENSG00000250673.3	ENST00000623665.2
SLC10A7	ENSG00000120519.16	ENST00000432059.6
POU4F2	ENSG00000151615.3	ENST00000281321.3
TTC29	ENSG00000137473.19	ENST00000325106.9
EDNRA	ENSG00000151617.17	ENST00000324300.10
TMEM184C	ENSG00000164168.8	ENST00000508208.5
PRMT9	ENSG00000164169.13	ENST00000322396.7
ARHGAP10	ENSG00000071205.12	ENST00000336498.8
NR3C2	ENSG00000151623.15	ENST00000344721.8
IQCM	ENSG00000234828.9	ENST00000636793.2
DCLK2	ENSG00000170390.16	ENST00000296550.12
LRBA	ENSG00000198589.15	ENST00000357115.9
MAB21L2	ENSG00000181541.6	ENST00000317605.6
RPS3A	ENSG00000145425.10	ENST00000274065.9
SH3D19	ENSG00000109686.21	ENST00000604030.7
PRSS48	ENSG00000189099.12	ENST00000455694.7
FHIP1A	ENSG00000164142.16	ENST00000435205.6
GATB	ENSG00000059691.12	ENST00000263985.11
FBXW7	ENSG00000109670.17	ENST00000281708.10
TMEM154	ENSG00000170006.13	ENST00000304385.8
TIGD4	ENSG00000169989.3	ENST00000304337.3
ARFIP1	ENSG00000164144.16	ENST00000451320.6
FHDC1	ENSG00000137460.10	ENST00000511601.6
TRIM2	ENSG00000109654.16	ENST00000676423.1
ENSG00000288637	ENSG00000288637.1	ENST00000675518.1
MND1	ENSG00000121211.8	ENST00000622785.4
TMEM131L	ENSG00000121210.16	ENST00000409663.7
TLR2	ENSG00000137462.10	ENST00000646219.2
RNF175	ENSG00000145428.15	ENST00000347063.9
SFRP2	ENSG00000145423.5	ENST00000274063.5
DCHS2	ENSG00000197410.14	ENST00000357232.10
PLRG1	ENSG00000171566.12	ENST00000499023.7
FGB	ENSG00000171564.12	ENST00000302068.9
FGA	ENSG00000171560.18	ENST00000651975.2
FGG	ENSG00000171557.17	ENST00000404648.7
LRAT	ENSG00000121207.12	ENST00000507827.5
RBM46	ENSG00000151962.8	ENST00000281722.8
NPY2R	ENSG00000185149.6	ENST00000329476.4
MAP9	ENSG00000164114.19	ENST00000311277.9
GUCY1A1	ENSG00000164116.17	ENST00000506455.6
GUCY1B1	ENSG00000061918.14	ENST00000264424.13
ASIC5	ENSG00000256394.3	ENST00000537611.3
TDO2	ENSG00000151790.9	ENST00000536354.3
CTSO	ENSG00000256043.5	ENST00000679942.1
PDGFC	ENSG00000145431.11	ENST00000502773.6
GLRB	ENSG00000109738.11	ENST00000541722.5
GRIA2	ENSG00000120251.22	ENST00000703717.1
GASK1B	ENSG00000164125.16	ENST00000585682.6
TMEM144	ENSG00000164124.11	ENST00000296529.11
RXFP1	ENSG00000171509.16	ENST00000460056.6
C4orf46	ENSG00000205208.5	ENST00000379205.5
ETFDH	ENSG00000171503.13	ENST00000682734.1
PPID	ENSG00000171497.5	ENST00000307720.4
FNIP2	ENSG00000052795.13	ENST00000264433.11
SPMIP2	ENSG00000164123.7	ENST00000434826.3
RAPGEF2	ENSG00000109756.10	ENST00000644474.1
FSTL5	ENSG00000168843.14	ENST00000306100.10
NAF1	ENSG00000145414.9	ENST00000422287.6
NPY1R	ENSG00000164128.7	ENST00000296533.3
NPY5R	ENSG00000164129.12	ENST00000338566.8
TKTL2	ENSG00000151005.5	ENST00000280605.5
TMA16	ENSG00000198498.10	ENST00000358572.10
MARCHF1	ENSG00000145416.14	ENST00000503008.5
SMIM31	ENSG00000248771.5	ENST00000507311.1
APELA	ENSG00000248329.6	ENST00000507152.6
TRIM61	ENSG00000183439.10	ENST00000329314.6
TRIM60	ENSG00000176979.14	ENST00000647760.1
TRIM75	ENSG00000250374.5	ENST00000503032.3
TMEM192	ENSG00000170088.14	ENST00000506087.5
KLHL2	ENSG00000109466.14	ENST00000226725.11
GK3	ENSG00000229894.5	ENST00000505354.3
MSMO1	ENSG00000052802.13	ENST00000261507.11
CPE	ENSG00000109472.14	ENST00000402744.9
TLL1	ENSG00000038295.8	ENST00000061240.7
SPOCK3	ENSG00000196104.11	ENST00000506886.5
ANXA10	ENSG00000109511.12	ENST00000359299.8
DDX60	ENSG00000137628.18	ENST00000680771.1
DDX60L	ENSG00000181381.15	ENST00000511577.5
PALLD	ENSG00000129116.20	ENST00000261509.10
CBR4	ENSG00000145439.12	ENST00000306193.8
SH3RF1	ENSG00000154447.15	ENST00000284637.14
NEK1	ENSG00000137601.18	ENST00000686697.1
CLCN3	ENSG00000109572.16	ENST00000347613.9
HPF1	ENSG00000056050.7	ENST00000393381.3
MFAP3L	ENSG00000198948.12	ENST00000361618.4
AADAT	ENSG00000109576.14	ENST00000515480.5
GALNTL6	ENSG00000174473.17	ENST00000506823.6
GALNT7	ENSG00000109586.12	ENST00000265000.9
HMGB2	ENSG00000164104.12	ENST00000296503.10
SAP30	ENSG00000164105.4	ENST00000296504.4
SCRG1	ENSG00000164106.8	ENST00000296506.8
HAND2	ENSG00000164107.9	ENST00000359562.4
FBXO8	ENSG00000164117.14	ENST00000393674.7
CEP44	ENSG00000164118.13	ENST00000457424.6
HPGD	ENSG00000164120.14	ENST00000541923.5
GLRA3	ENSG00000145451.13	ENST00000274093.8
ADAM29	ENSG00000168594.15	ENST00000359240.7
GPM6A	ENSG00000150625.17	ENST00000280187.11
WDR17	ENSG00000150627.16	ENST00000508596.6
SPATA4	ENSG00000150628.7	ENST00000280191.7
ASB5	ENSG00000164122.9	ENST00000296525.7
SPCS3	ENSG00000129128.13	ENST00000503362.2
VEGFC	ENSG00000150630.4	ENST00000618562.2
NEIL3	ENSG00000109674.4	ENST00000264596.4
AGA	ENSG00000038002.9	ENST00000264595.7
TENM3	ENSG00000218336.9	ENST00000511685.6
DCTD	ENSG00000129187.15	ENST00000438320.7
WWC2	ENSG00000151718.16	ENST00000403733.8
CLDN22	ENSG00000177300.7	ENST00000323319.7
CLDN24	ENSG00000185758.9	ENST00000541814.1
CDKN2AIP	ENSG00000168564.6	ENST00000504169.2
ING2	ENSG00000168556.7	ENST00000302327.4
RWDD4	ENSG00000182552.15	ENST00000326397.10
TRAPPC11	ENSG00000168538.16	ENST00000357207.8
STOX2	ENSG00000173320.12	ENST00000513034.3
ENPP6	ENSG00000164303.11	ENST00000296741.7
IRF2	ENSG00000168310.12	ENST00000696840.1
CASP3	ENSG00000164305.20	ENST00000700101.1
PRIMPOL	ENSG00000164306.11	ENST00000515774.5
CENPU	ENSG00000151725.12	ENST00000281453.10
ACSL1	ENSG00000151726.16	ENST00000515030.5
HELT	ENSG00000187821.9	ENST00000515777.6
SLC25A4	ENSG00000151729.11	ENST00000281456.11
CFAP97	ENSG00000164323.15	ENST00000458385.7
SNX25	ENSG00000109762.17	ENST00000504273.5
LRP2BP	ENSG00000109771.16	ENST00000505916.6
ANKRD37	ENSG00000186352.9	ENST00000335174.6
UFSP2	ENSG00000109775.11	ENST00000264689.11
CFAP96	ENSG00000205129.9	ENST00000378850.5
CCDC110	ENSG00000168491.10	ENST00000307588.8
PDLIM3	ENSG00000154553.17	ENST00000284767.12
SORBS2	ENSG00000154556.20	ENST00000284776.11
TLR3	ENSG00000164342.14	ENST00000296795.8
FAM149A	ENSG00000109794.14	ENST00000389354.7
CYP4V2	ENSG00000145476.16	ENST00000378802.5
ENSG00000290316	ENSG00000290316.1	ENST00000511608.5
KLKB1	ENSG00000164344.17	ENST00000264690.11
F11	ENSG00000088926.15	ENST00000403665.7
ENSG00000272297	ENSG00000272297.2	ENST00000509111.2
MTNR1A	ENSG00000168412.7	ENST00000703170.1
FAT1	ENSG00000083857.15	ENST00000441802.7
ZFP42	ENSG00000179059.10	ENST00000326866.5
TRIML2	ENSG00000179046.9	ENST00000682553.1
TRIML1	ENSG00000184108.8	ENST00000332517.4
FRG1	ENSG00000109536.13	ENST00000226798.9
FRG2	ENSG00000205097.7	ENST00000378763.1
DUX4	ENSG00000260596.5	ENST00000565211.1
PLEKHG4B	ENSG00000153404.15	ENST00000637938.2
LRRC14B	ENSG00000185028.4	ENST00000328278.4
CCDC127	ENSG00000164366.4	ENST00000296824.4
ENSG00000286001	ENSG00000286001.1	ENST00000651543.1
SDHA	ENSG00000073578.18	ENST00000264932.11
PDCD6	ENSG00000249915.9	ENST00000614778.4
PDCD6-AHRR	ENSG00000288622.1	ENST00000675395.1
AHRR	ENSG00000063438.20	ENST00000684583.1
EXOC3	ENSG00000180104.16	ENST00000512944.6
SLC9A3	ENSG00000066230.12	ENST00000264938.8
CEP72	ENSG00000112877.8	ENST00000264935.6
TPPP	ENSG00000171368.12	ENST00000360578.7
ZDHHC11B	ENSG00000206077.14	ENST00000508859.8
ZDHHC11	ENSG00000188818.13	ENST00000283441.13
BRD9	ENSG00000028310.18	ENST00000467963.6
TRIP13	ENSG00000071539.14	ENST00000166345.8
NKD2	ENSG00000145506.14	ENST00000296849.10
SLC12A7	ENSG00000113504.21	ENST00000264930.10
SLC6A19	ENSG00000174358.16	ENST00000304460.11
SLC6A18	ENSG00000164363.10	ENST00000324642.4
TERT	ENSG00000164362.21	ENST00000310581.10
CLPTM1L	ENSG00000049656.14	ENST00000320895.10
SLC6A3	ENSG00000142319.19	ENST00000270349.12
LPCAT1	ENSG00000153395.11	ENST00000283415.4
MRPL36	ENSG00000171421.13	ENST00000505818.1
NDUFS6	ENSG00000145494.12	ENST00000274137.10
IRX4	ENSG00000113430.11	ENST00000513692.5
IRX2	ENSG00000170561.13	ENST00000382611.10
IRX1	ENSG00000170549.4	ENST00000302006.4
ADAMTS16	ENSG00000145536.15	ENST00000274181.7
ICE1	ENSG00000164151.12	ENST00000296564.9
MED10	ENSG00000133398.4	ENST00000255764.4
UBE2QL1	ENSG00000215218.4	ENST00000399816.4
NSUN2	ENSG00000037474.15	ENST00000264670.11
SRD5A1	ENSG00000145545.13	ENST00000274192.7
TENT4A	ENSG00000112941.14	ENST00000230859.8
ADCY2	ENSG00000078295.17	ENST00000338316.9
CFAP90	ENSG00000215217.7	ENST00000399810.7
FASTKD3	ENSG00000124279.12	ENST00000264669.10
MTRR	ENSG00000124275.15	ENST00000264668.6
SEMA5A	ENSG00000112902.12	ENST00000382496.10
TAS2R1	ENSG00000169777.7	ENST00000382492.4
ATPSCKMT	ENSG00000150756.14	ENST00000511437.6
CCT5	ENSG00000150753.12	ENST00000280326.9
CMBL	ENSG00000164237.9	ENST00000296658.4
MARCHF6	ENSG00000145495.17	ENST00000274140.10
ROPN1L	ENSG00000145491.13	ENST00000503804.5
ANKRD33B	ENSG00000164236.12	ENST00000296657.7
DAP	ENSG00000112977.16	ENST00000230895.11
CTNND2	ENSG00000169862.21	ENST00000304623.13
DNAH5	ENSG00000039139.11	ENST00000681290.1
TRIO	ENSG00000038382.23	ENST00000344204.9
OTULINL	ENSG00000145569.6	ENST00000274217.4
OTULIN	ENSG00000154124.7	ENST00000850613.1
ANKH	ENSG00000154122.14	ENST00000284268.8
FBXL7	ENSG00000183580.10	ENST00000504595.2
MARCHF11	ENSG00000183654.9	ENST00000332432.9
ZNF622	ENSG00000173545.5	ENST00000308683.3
RETREG1	ENSG00000154153.15	ENST00000306320.10
MYO10	ENSG00000145555.15	ENST00000513610.6
BASP1	ENSG00000176788.9	ENST00000616743.1
LINC02218	ENSG00000249662.7	ENST00000638486.3
H3Y2	ENSG00000268799.4	ENST00000600799.3
TAF11L2	ENSG00000284373.1	ENST00000639081.1
TAF11L3	ENSG00000284439.1	ENST00000638668.1
TAF11L4	ENSG00000284283.1	ENST00000638408.1
TAF11L5	ENSG00000284234.1	ENST00000638483.1
TAF11L6	ENSG00000284042.1	ENST00000640558.1
TAF11L7	ENSG00000284465.1	ENST00000640846.1
TAF11L8	ENSG00000283967.1	ENST00000640803.1
TAF11L9	ENSG00000283988.1	ENST00000639969.1
TAF11L10	ENSG00000284356.1	ENST00000638842.1
TAF11L11	ENSG00000283740.2	ENST00000707170.2
TAF11L12	ENSG00000249156.3	ENST00000715555.1
TAF11L13	ENSG00000283776.1	ENST00000639073.1
TAF11L14	ENSG00000250782.1	ENST00000512227.1
H3Y1	ENSG00000269466.4	ENST00000598383.3
CDH18	ENSG00000145526.12	ENST00000507958.5
ENSG00000233974	ENSG00000233974.4	ENST00000502532.2
CDH12	ENSG00000154162.15	ENST00000382254.6
PRDM9	ENSG00000164256.11	ENST00000296682.4
CDH10	ENSG00000040731.10	ENST00000264463.8
CDH9	ENSG00000113100.10	ENST00000231021.9
CDH6	ENSG00000113361.13	ENST00000265071.3
DROSHA	ENSG00000113360.17	ENST00000344624.8
C5orf22	ENSG00000082213.18	ENST00000325366.14
PDZD2	ENSG00000133401.16	ENST00000438447.2
GOLPH3	ENSG00000113384.14	ENST00000265070.7
MTMR12	ENSG00000150712.11	ENST00000280285.9
ZFR	ENSG00000056097.16	ENST00000265069.13
SUB1	ENSG00000113387.13	ENST00000506237.6
NPR3	ENSG00000113389.16	ENST00000326958.5
TARS1	ENSG00000113407.14	ENST00000502553.5
ADAMTS12	ENSG00000151388.11	ENST00000504830.6
RXFP3	ENSG00000182631.7	ENST00000330120.5
SLC45A2	ENSG00000164175.15	ENST00000296589.9
AMACR	ENSG00000242110.9	ENST00000335606.11
C1QTNF3-AMACR	ENSG00000273294.1	ENST00000382079.3
ENSG00000289791	ENSG00000289791.1	ENST00000426255.6
C1QTNF3	ENSG00000082196.21	ENST00000382065.8
ENSG00000215156	ENSG00000215156.6	ENST00000505001.3
RAI14	ENSG00000039560.14	ENST00000265109.8
TTC23L	ENSG00000205838.15	ENST00000505624.6
RAD1	ENSG00000113456.20	ENST00000341754.8
BRIX1	ENSG00000113460.13	ENST00000336767.6
DNAJC21	ENSG00000168724.18	ENST00000648817.1
AGXT2	ENSG00000113492.14	ENST00000618015.4
PRLR	ENSG00000113494.17	ENST00000618457.5
SPEF2	ENSG00000152582.14	ENST00000356031.8
IL7R	ENSG00000168685.15	ENST00000303115.8
CAPSL	ENSG00000152611.12	ENST00000397367.6
UGT3A1	ENSG00000145626.12	ENST00000274278.8
UGT3A2	ENSG00000168671.10	ENST00000282507.8
LMBRD2	ENSG00000164187.7	ENST00000296603.5
SKP2	ENSG00000145604.17	ENST00000678270.1
NADK2	ENSG00000152620.13	ENST00000381937.9
RANBP3L	ENSG00000164188.9	ENST00000296604.8
SLC1A3	ENSG00000079215.15	ENST00000680318.1
NIPBL	ENSG00000164190.19	ENST00000282516.13
CPLANE1	ENSG00000197603.16	ENST00000651892.2
NUP155	ENSG00000113569.17	ENST00000716591.1
WDR70	ENSG00000082068.9	ENST00000265107.9
GDNF	ENSG00000168621.15	ENST00000326524.7
EGFLAM	ENSG00000164318.18	ENST00000322350.10
LIFR	ENSG00000113594.10	ENST00000263409.8
OSMR	ENSG00000145623.13	ENST00000274276.8
RICTOR	ENSG00000164327.14	ENST00000296782.10
FYB1	ENSG00000082074.19	ENST00000646045.2
C9	ENSG00000113600.12	ENST00000509186.6
DAB2	ENSG00000153071.15	ENST00000545653.5
TTC33	ENSG00000113638.14	ENST00000636863.1
PTGER4	ENSG00000171522.6	ENST00000302472.4
PRKAA1	ENSG00000132356.12	ENST00000397128.7
RPL37	ENSG00000145592.14	ENST00000274242.10
CARD6	ENSG00000132357.14	ENST00000381677.4
C7	ENSG00000112936.21	ENST00000313164.10
MROH2B	ENSG00000171495.17	ENST00000399564.5
C6	ENSG00000039537.16	ENST00000263413.7
PLCXD3	ENSG00000182836.11	ENST00000377801.8
OXCT1	ENSG00000083720.13	ENST00000196371.10
RIMOC1	ENSG00000205765.10	ENST00000381647.7
FBXO4	ENSG00000151876.13	ENST00000281623.8
GHR	ENSG00000112964.14	ENST00000230882.9
CCDC152	ENSG00000198865.10	ENST00000361970.10
SELENOP	ENSG00000250722.6	ENST00000506577.5
ANXA2R	ENSG00000177721.5	ENST00000314890.3
ZNF131	ENSG00000172262.12	ENST00000682664.1
NIM1K	ENSG00000177453.7	ENST00000326035.6
HMGCS1	ENSG00000112972.16	ENST00000325110.11
CCL28	ENSG00000151882.11	ENST00000361115.4
TMEM267	ENSG00000151881.15	ENST00000397080.8
C5orf34	ENSG00000172244.9	ENST00000306862.7
PAIP1	ENSG00000172239.14	ENST00000306846.8
NNT	ENSG00000112992.18	ENST00000264663.9
FGF10	ENSG00000070193.5	ENST00000264664.5
MRPS30	ENSG00000112996.11	ENST00000507110.6
HCN1	ENSG00000164588.8	ENST00000673735.1
EMB	ENSG00000170571.12	ENST00000303221.10
PARP8	ENSG00000151883.20	ENST00000281631.10
ISL1	ENSG00000016082.15	ENST00000230658.12
PELO	ENSG00000152684.11	ENST00000274311.3
ITGA1	ENSG00000213949.10	ENST00000282588.7
ITGA2	ENSG00000164171.11	ENST00000296585.10
MOCS2	ENSG00000164172.20	ENST00000361377.8
FST	ENSG00000134363.12	ENST00000256759.8
NDUFS4	ENSG00000164258.12	ENST00000296684.10
ARL15	ENSG00000185305.12	ENST00000502271.5
HSPB3	ENSG00000169271.3	ENST00000302005.3
SNX18	ENSG00000178996.14	ENST00000381410.5
ESM1	ENSG00000164283.13	ENST00000381405.5
GZMK	ENSG00000113088.6	ENST00000231009.3
GZMA	ENSG00000145649.8	ENST00000274306.7
CDC20B	ENSG00000164287.13	ENST00000381375.7
GPX8	ENSG00000164294.14	ENST00000503787.6
MCIDAS	ENSG00000234602.9	ENST00000513312.3
CCNO	ENSG00000152669.9	ENST00000282572.5
DHX29	ENSG00000067248.11	ENST00000251636.10
MTREX	ENSG00000039123.16	ENST00000230640.10
PLPP1	ENSG00000067113.17	ENST00000264775.9
SLC38A9	ENSG00000177058.12	ENST00000396865.7
DDX4	ENSG00000152670.19	ENST00000353507.9
IL31RA	ENSG00000164509.17	ENST00000652347.2
IL6ST	ENSG00000134352.21	ENST00000381298.7
ANKRD55	ENSG00000164512.18	ENST00000341048.9
MAP3K1	ENSG00000095015.6	ENST00000399503.4
SETD9	ENSG00000155542.12	ENST00000628593.1
MIER3	ENSG00000155545.20	ENST00000381213.7
GPBP1	ENSG00000062194.16	ENST00000424459.7
ACTBL2	ENSG00000169067.4	ENST00000423391.3
PLK2	ENSG00000145632.15	ENST00000617412.1
GAPT	ENSG00000175857.9	ENST00000396776.6
RAB3C	ENSG00000152932.8	ENST00000282878.6
PDE4D	ENSG00000113448.21	ENST00000502484.6
DEPDC1B	ENSG00000035499.13	ENST00000265036.10
ELOVL7	ENSG00000164181.14	ENST00000425382.5
ERCC8	ENSG00000049167.16	ENST00000676185.1
NDUFAF2	ENSG00000164182.12	ENST00000296597.10
SMIM15	ENSG00000188725.8	ENST00000339020.8
ZSWIM6	ENSG00000130449.6	ENST00000252744.6
KIF2A	ENSG00000068796.19	ENST00000407818.8
ENSG00000288643	ENSG00000288643.1	ENST00000509663.2
DIMT1	ENSG00000086189.11	ENST00000199320.9
IPO11	ENSG00000086200.17	ENST00000325324.11
LRRC70	ENSG00000186105.8	ENST00000334994.6
HTR1A	ENSG00000178394.5	ENST00000323865.5
RNF180	ENSG00000164197.12	ENST00000389100.9
RGS7BP	ENSG00000186479.5	ENST00000334025.3
SHISAL2B	ENSG00000145642.12	ENST00000389074.6
SREK1IP1	ENSG00000153006.16	ENST00000513458.9
CWC27	ENSG00000153015.17	ENST00000693303.1
ADAMTS6	ENSG00000049192.15	ENST00000381055.8
CENPK	ENSG00000123219.13	ENST00000396679.6
PPWD1	ENSG00000113593.12	ENST00000535264.5
TRIM23	ENSG00000113595.15	ENST00000231524.14
TRAPPC13	ENSG00000113597.19	ENST00000715762.1
SHLD3	ENSG00000253251.3	ENST00000510585.3
SGTB	ENSG00000197860.10	ENST00000381007.9
NLN	ENSG00000123213.23	ENST00000380985.10
ERBIN	ENSG00000112851.16	ENST00000699000.1
SREK1	ENSG00000153914.16	ENST00000334121.11
MAST4	ENSG00000069020.19	ENST00000403625.7
CD180	ENSG00000134061.5	ENST00000256447.5
PIK3R1	ENSG00000145675.16	ENST00000521381.6
SLC30A5	ENSG00000145740.20	ENST00000396591.8
CCNB1	ENSG00000134057.15	ENST00000256442.10
CENPH	ENSG00000153044.10	ENST00000515001.5
KGD4	ENSG00000134056.12	ENST00000256441.5
CDK7	ENSG00000134058.12	ENST00000629350.2
CCDC125	ENSG00000183323.13	ENST00000396496.7
AK6	ENSG00000085231.14	ENST00000380822.9
TAF9	ENSG00000273841.6	ENST00000328663.8
RAD17	ENSG00000152942.19	ENST00000361732.6
MARVELD2	ENSG00000152939.17	ENST00000325631.10
OCLN	ENSG00000197822.12	ENST00000355237.6
GTF2H2C	ENSG00000183474.16	ENST00000380729.8
ENSG00000250138	ENSG00000250138.5	ENST00000515156.3
ENSG00000251158	ENSG00000251158.2	ENST00000505635.2
SERF1B	ENSG00000205572.11	ENST00000380750.8
SMN2	ENSG00000205571.15	ENST00000626847.2
ENSG00000293691	ENSG00000293691.1	ENST00000718364.1
ENSG00000293689	ENSG00000293689.1	ENST00000718358.1
ENSG00000288349	ENSG00000288349.2	ENST00000672116.2
SERF1A	ENSG00000172058.16	ENST00000354833.7
SMN1	ENSG00000172062.17	ENST00000506163.5
NAIP	ENSG00000249437.8	ENST00000517649.6
GTF2H2	ENSG00000145736.15	ENST00000330280.11
BDP1	ENSG00000145734.20	ENST00000358731.9
MCCC2	ENSG00000131844.17	ENST00000682214.1
CARTPT	ENSG00000164326.5	ENST00000296777.5
MAP1B	ENSG00000131711.15	ENST00000296755.12
MRPS27	ENSG00000113048.19	ENST00000694990.1
PTCD2	ENSG00000049883.15	ENST00000380639.10
ZNF366	ENSG00000178175.12	ENST00000318442.6
TNPO1	ENSG00000083312.19	ENST00000680533.1
FCHO2	ENSG00000157107.14	ENST00000430046.7
TMEM171	ENSG00000157111.13	ENST00000287773.5
TMEM174	ENSG00000164325.8	ENST00000296776.6
FOXD1	ENSG00000251493.5	ENST00000615637.3
BTF3	ENSG00000145741.17	ENST00000380591.8
ANKRA2	ENSG00000164331.10	ENST00000296785.8
UTP15	ENSG00000164338.10	ENST00000296792.9
ARHGEF28	ENSG00000214944.10	ENST00000545377.5
ENC1	ENSG00000171617.16	ENST00000618628.4
HEXB	ENSG00000049860.14	ENST00000511181.5
GFM2	ENSG00000164347.18	ENST00000345239.6
NSA2	ENSG00000164346.10	ENST00000610426.5
FAM169A	ENSG00000198780.13	ENST00000389156.9
GCNT4	ENSG00000176928.7	ENST00000652361.2
ANKRD31	ENSG00000145700.10	ENST00000274361.3
HMGCR	ENSG00000113161.17	ENST00000680940.1
CERT1	ENSG00000113163.19	ENST00000644912.1
POLK	ENSG00000122008.16	ENST00000241436.9
ANKDD1B	ENSG00000189045.15	ENST00000672850.1
POC5	ENSG00000152359.15	ENST00000428202.7
SV2C	ENSG00000122012.14	ENST00000322285.7
IQGAP2	ENSG00000145703.17	ENST00000274364.11
F2RL2	ENSG00000164220.7	ENST00000296641.5
F2R	ENSG00000181104.7	ENST00000319211.5
F2RL1	ENSG00000164251.5	ENST00000296677.5
S100Z	ENSG00000171643.14	ENST00000317593.9
CRHBP	ENSG00000145708.11	ENST00000274368.9
AGGF1	ENSG00000164252.13	ENST00000312916.12
ENSG00000285000	ENSG00000285000.1	ENST00000646704.1
ZBED3	ENSG00000132846.6	ENST00000255198.3
PDE8B	ENSG00000284762.1	ENST00000646262.1
PDE8B	ENSG00000113231.14	ENST00000264917.10
WDR41	ENSG00000164253.14	ENST00000296679.9
OTP	ENSG00000171540.8	ENST00000306422.5
TBCA	ENSG00000171530.15	ENST00000522370.1
AP3B1	ENSG00000132842.16	ENST00000519295.7
SCAMP1	ENSG00000085365.18	ENST00000621999.5
LHFPL2	ENSG00000145685.14	ENST00000380345.7
ARSB	ENSG00000113273.17	ENST00000264914.10
DMGDH	ENSG00000132837.15	ENST00000255189.8
BHMT2	ENSG00000132840.10	ENST00000255192.8
BHMT	ENSG00000145692.15	ENST00000274353.10
JMY	ENSG00000152409.9	ENST00000396137.5
HOMER1	ENSG00000152413.15	ENST00000334082.11
TENT2	ENSG00000164329.15	ENST00000453514.6
CMYA5	ENSG00000164309.15	ENST00000446378.3
MTX3	ENSG00000177034.18	ENST00000512528.3
THBS4	ENSG00000113296.14	ENST00000350881.6
SERINC5	ENSG00000164300.18	ENST00000509193.6
SPZ1	ENSG00000164299.7	ENST00000296739.6
ZFYVE16	ENSG00000039319.17	ENST00000505560.5
FAM151B	ENSG00000152380.10	ENST00000282226.5
ANKRD34B	ENSG00000189127.8	ENST00000338682.8
DHFR	ENSG00000228716.7	ENST00000439211.7
MSH3	ENSG00000113318.11	ENST00000265081.7
RASGRF2	ENSG00000113319.13	ENST00000265080.9
CKMT2	ENSG00000131730.16	ENST00000254035.9
ZCCHC9	ENSG00000131732.12	ENST00000407610.8
ACOT12	ENSG00000172497.9	ENST00000307624.8
SSBP2	ENSG00000145687.17	ENST00000320672.9
ATG10	ENSG00000152348.16	ENST00000282185.8
RPS23	ENSG00000186468.13	ENST00000296674.13
TMEM167A	ENSG00000174695.10	ENST00000502346.2
XRCC4	ENSG00000152422.16	ENST00000282268.7
VCAN	ENSG00000038427.16	ENST00000342785.8
HAPLN1	ENSG00000145681.11	ENST00000274341.9
EDIL3	ENSG00000164176.13	ENST00000296591.10
COX7C	ENSG00000127184.13	ENST00000247655.4
RASA1	ENSG00000145715.15	ENST00000274376.11
CCNH	ENSG00000134480.17	ENST00000713562.1
TMEM161B	ENSG00000164180.14	ENST00000514135.5
MEF2C	ENSG00000081189.17	ENST00000424173.6
CETN3	ENSG00000153140.9	ENST00000283122.8
MBLAC2	ENSG00000176055.10	ENST00000316610.7
POLR3G	ENSG00000113356.13	ENST00000651687.1
LYSMD3	ENSG00000176018.13	ENST00000315948.11
ADGRV1	ENSG00000164199.18	ENST00000405460.9
ARRDC3	ENSG00000113369.9	ENST00000265138.4
NR2F1	ENSG00000175745.15	ENST00000327111.8
ARB2A	ENSG00000113391.19	ENST00000395965.8
POU5F2	ENSG00000248483.7	ENST00000606183.4
KIAA0825	ENSG00000185261.16	ENST00000682413.1
SLF1	ENSG00000133302.13	ENST00000265140.10
MCTP1	ENSG00000175471.20	ENST00000515393.6
FAM81B	ENSG00000153347.10	ENST00000283357.10
SKIC3	ENSG00000198677.13	ENST00000698457.1
ARSK	ENSG00000164291.17	ENST00000380009.9
GPR150	ENSG00000178015.5	ENST00000380007.3
RFESD	ENSG00000175449.15	ENST00000380005.9
SPATA9	ENSG00000145757.16	ENST00000274432.13
RHOBTB3	ENSG00000164292.13	ENST00000379982.8
GLRX	ENSG00000173221.14	ENST00000508780.5
ELL2	ENSG00000118985.16	ENST00000237853.9
CAST	ENSG00000310517.1	ENST00000718093.1
PCSK1	ENSG00000175426.11	ENST00000311106.8
ERAP1	ENSG00000164307.13	ENST00000296754.7
ERAP2	ENSG00000164308.18	ENST00000437043.8
LNPEP	ENSG00000113441.16	ENST00000231368.10
LIX1	ENSG00000145721.12	ENST00000274382.9
RIOK2	ENSG00000058729.11	ENST00000283109.8
RGMB	ENSG00000174136.13	ENST00000308234.11
CHD1	ENSG00000153922.12	ENST00000511067.3
ENSG00000206356	ENSG00000206356.6	ENST00000504077.3
ENSG00000273957	ENSG00000273957.2	ENST00000614465.2
FAM174A	ENSG00000174132.10	ENST00000715272.1
ST8SIA4	ENSG00000113532.13	ENST00000231461.10
SLCO4C1	ENSG00000173930.9	ENST00000310954.7
SLCO6A1	ENSG00000205359.10	ENST00000506729.6
PAM	ENSG00000145730.21	ENST00000510208.2
GIN1	ENSG00000145723.17	ENST00000399004.7
PPIP5K2	ENSG00000145725.21	ENST00000321521.13
